,Name,url
120,"
                                                    Spark Academy
                                                ",https://www.exambazaar.com/c/spark-academy/uttam-nagar-delhi
122,"
                                                    Excel IIT JEE Coaching
                                                ",https://www.exambazaar.com/c/excel-iit-jee-coaching/patel-nagar-delhi
124,"
                                                    Prashant Physics Classes
                                                ",https://www.exambazaar.com/c/prashant-physics-classes/tilak-nagar-delhi
126,"
                                                    TestBag Academy
                                                ",https://www.exambazaar.com/c/testbag-academy/janakpuri-delhi
128,"
                                                    Aryan Classes
                                                ",https://www.exambazaar.com/c/aryan-classes/hauz-khas-delhi
130,"
                                                    Nata Study Centre
                                                ",https://www.exambazaar.com/c/nata-study-centre/dwarka-delhi
132,"
                                                    Zcore Institute of Learning School
                                                ",https://www.exambazaar.com/c/zcore-institute-of-learning-school/kakrola-delhi
134,"
                                                    Gyankunj Classes
                                                ",https://www.exambazaar.com/c/gyankunj-classes/narela-delhi
136,"
                                                    Saraswati Chemistry Point
                                                ",https://www.exambazaar.com/c/saraswati-chemistry-point/pitampura-delhi
138,"
                                                    Actuation
                                                ",https://www.exambazaar.com/c/actuation/karol-bagh-delhi
140,"
                                                    Sumit Coaching Centre
                                                ",https://www.exambazaar.com/c/sumit-coaching-centre/karol-bagh-delhi
142,"
                                                    N.R.R. Institute
                                                ",https://www.exambazaar.com/c/nrr-institute/malviya-nagar-delhi
144,"
                                                    Axis Tutorials
                                                ",https://www.exambazaar.com/c/axis-tutorials/rajinder-nagar-delhi
146,"
                                                    Satish Goyal Physics Classes
                                                ",https://www.exambazaar.com/c/satish-goyal-physics-classes/kalkaji-delhi
148,"
                                                    Fountain International Coaching Institute
                                                ",https://www.exambazaar.com/c/fountain-international-coaching-institute/new-friends-colony-delhi
149,"
                                                    Unnati Classes
                                                ",https://www.exambazaar.com/c/unnati-classes/madangir-delhi
151,"
                                                    Apex Education
                                                ",https://www.exambazaar.com/c/apex-education/dwarka-sec-6-delhi
153,"
                                                    Keshaw Classes
                                                ",https://www.exambazaar.com/c/keshaw-classes/patel-nagar-delhi
155,"
                                                    Satyam Tutorials
                                                ",https://www.exambazaar.com/c/satyam-tutorials/saket-delhi
157,"
                                                    Mohanty Classes
                                                ",https://www.exambazaar.com/c/mohanty-classes/vasant-kunj-delhi
159,"
                                                    Zenith Education Centre
                                                ",https://www.exambazaar.com/c/zenith-education-centre/okhla-delhi
161,"
                                                    Catalyst Institute
                                                ",https://www.exambazaar.com/c/catalyst-institute/paschim-vihar-delhi
163,"
                                                    Ayushman Institute
                                                ",https://www.exambazaar.com/c/ayushman-institute/model-town-delhi
165,"
                                                    Simplified Physics
                                                ",https://www.exambazaar.com/c/simplified-physics/rohini-delhi
167,"
                                                    Study Innovations
                                                ",https://www.exambazaar.com/c/study-innovations/jangpura-delhi
169,"
                                                    Pyramid Classes
                                                ",https://www.exambazaar.com/c/pyramid-classes/kalkaji-delhi
171,"
                                                    Creative Career
                                                ",https://www.exambazaar.com/c/creative-career/hauz-khas-delhi
173,"
                                                    Swastika Classes
                                                ",https://www.exambazaar.com/c/swastika-classes/south-extension-i-delhi
175,"
                                                    Topper's Academy
                                                ",https://www.exambazaar.com/c/toppers-academy/sultanpuri-delhi
